Day,Device,Browser,Channel,Visitors,Signups
2025-04-08,desktop,chrome,email,4850,292
2025-04-08,desktop,chrome,organic,4939,463
2025-04-08,desktop,chrome,paid,13930,890
2025-04-08,desktop,chrome,social,25219,2456
2025-04-08,desktop,edge,email,1162,52
2025-04-08,desktop,edge,organic,1243,82
2025-04-08,desktop,edge,paid,3551,162
2025-04-08,desktop,edge,social,6179,429
2025-04-08,desktop,firefox,email,3672,175
2025-04-08,desktop,firefox,organic,3655,269
2025-04-08,desktop,firefox,paid,10430,532
2025-04-08,desktop,firefox,social,18775,1549
2025-04-08,desktop,opera,email,657,22
2025-04-08,desktop,opera,organic,758,49
2025-04-08,desktop,opera,paid,2031,71
2025-04-08,desktop,opera,social,3588,249
2025-04-08,desktop,safari,email,2863,160
2025-04-08,desktop,safari,organic,2845,218
2025-04-08,desktop,safari,paid,8105,486
2025-04-08,desktop,safari,social,14399,1203
2025-04-08,mobile,chrome,email,4888,171
2025-04-08,mobile,chrome,organic,5036,348
2025-04-08,mobile,chrome,paid,14331,628
2025-04-08,mobile,chrome,social,25090,1808
2025-04-08,mobile,edge,email,1255,39
2025-04-08,mobile,edge,organic,1297,65
2025-04-08,mobile,edge,paid,3482,103
2025-04-08,mobile,edge,social,6203,340
2025-04-08,mobile,firefox,email,3577,151
2025-04-08,mobile,firefox,organic,3637,223
2025-04-08,mobile,firefox,paid,10443,375
2025-04-08,mobile,firefox,social,18818,1086
2025-04-08,mobile,opera,email,734,23
2025-04-08,mobile,opera,organic,770,22
2025-04-08,mobile,opera,paid,2094,62
2025-04-08,mobile,opera,social,3670,188
2025-04-08,mobile,safari,email,2799,114
2025-04-08,mobile,safari,organic,2925,174
2025-04-08,mobile,safari,paid,8100,343
2025-04-08,mobile,safari,social,14486,973
2025-04-08,tablet,chrome,email,1159,61
2025-04-08,tablet,chrome,organic,1128,94
2025-04-08,tablet,chrome,paid,3241,177
2025-04-08,tablet,chrome,social,5662,485
2025-04-08,tablet,edge,email,255,14
2025-04-08,tablet,edge,organic,308,20
2025-04-08,tablet,edge,paid,782,27
2025-04-08,tablet,edge,social,1408,80
2025-04-08,tablet,firefox,email,852,35
2025-04-08,tablet,firefox,organic,844,57
2025-04-08,tablet,firefox,paid,2425,108
2025-04-08,tablet,firefox,social,4290,286
2025-04-08,tablet,opera,email,186,11
2025-04-08,tablet,opera,organic,161,11
2025-04-08,tablet,opera,paid,485,17
2025-04-08,tablet,opera,social,859,51
2025-04-08,tablet,safari,email,653,30
2025-04-08,tablet,safari,organic,645,41
2025-04-08,tablet,safari,paid,1816,81
2025-04-08,tablet,safari,social,3379,265
2025-04-09,desktop,chrome,email,4676,250
2025-04-09,desktop,chrome,organic,4814,450
2025-04-09,desktop,chrome,paid,14605,805
2025-04-09,desktop,chrome,social,24071,2256
