day,device,returning_user,sweater,channel,visitors,sales,revenue
2025-04-16,desktop,new,none,email,13335,0,0
2025-04-16,desktop,new,none,organic,13468,0,0
2025-04-16,desktop,new,none,paid,23927,0,0
2025-04-16,desktop,new,none,social,14286,0,0
2025-04-16,desktop,new,regular,email,589,589,11780
2025-04-16,desktop,new,regular,organic,678,678,13560
2025-04-16,desktop,new,regular,paid,773,773,15460
2025-04-16,desktop,new,regular,social,480,480,9600
2025-04-16,desktop,returning,none,email,2595,0,0
2025-04-16,desktop,returning,none,organic,2649,0,0
2025-04-16,desktop,returning,none,paid,4802,0,0
2025-04-16,desktop,returning,none,social,2791,0,0
2025-04-16,desktop,returning,regular,email,374,374,7480
2025-04-16,desktop,returning,regular,organic,452,452,9040
2025-04-16,desktop,returning,regular,paid,504,504,10080
2025-04-16,desktop,returning,regular,social,309,309,6180
2025-04-16,mobile,new,none,email,30753,0,0
2025-04-16,mobile,new,none,organic,30942,0,0
2025-04-16,mobile,new,none,paid,54740,0,0
2025-04-16,mobile,new,none,social,32815,0,0
2025-04-16,mobile,new,regular,email,921,921,18420
2025-04-16,mobile,new,regular,organic,1185,1185,23700
2025-04-16,mobile,new,regular,paid,1366,1366,27320
2025-04-16,mobile,new,regular,social,847,847,16940
2025-04-16,mobile,returning,none,email,6320,0,0
2025-04-16,mobile,returning,none,organic,6114,0,0
2025-04-16,mobile,returning,none,paid,11318,0,0
2025-04-16,mobile,returning,none,social,6761,0,0
2025-04-16,mobile,returning,regular,email,642,642,12840
2025-04-16,mobile,returning,regular,organic,795,795,15900
2025-04-16,mobile,returning,regular,paid,891,891,17820
2025-04-16,mobile,returning,regular,social,514,514,10280
2025-04-17,desktop,new,none,email,14801,0,0
2025-04-17,desktop,new,none,organic,19295,0,0
2025-04-17,desktop,new,none,paid,26272,0,0
2025-04-17,desktop,new,none,social,17440,0,0
2025-04-17,desktop,new,regular,email,585,585,11700
2025-04-17,desktop,new,regular,organic,948,948,18960
2025-04-17,desktop,new,regular,paid,796,796,15920
2025-04-17,desktop,new,regular,social,556,556,11120
2025-04-17,desktop,returning,none,email,4239,0,0
2025-04-17,desktop,returning,none,organic,5321,0,0
2025-04-17,desktop,returning,none,paid,7559,0,0
2025-04-17,desktop,returning,none,social,5032,0,0
2025-04-17,desktop,returning,regular,email,597,597,11940
2025-04-17,desktop,returning,regular,organic,864,864,17280
2025-04-17,desktop,returning,regular,paid,741,741,14820
2025-04-17,desktop,returning,regular,social,521,521,10420
2025-04-17,mobile,new,none,email,22925,0,0
2025-04-17,mobile,new,none,organic,30139,0,0
2025-04-17,mobile,new,none,paid,41188,0,0
2025-04-17,mobile,new,none,social,27588,0,0
2025-04-17,mobile,new,regular,email,736,736,14720
2025-04-17,mobile,new,regular,organic,1036,1036,20720
2025-04-17,mobile,new,regular,paid,947,947,18940
2025-04-17,mobile,new,regular,social,608,608,12160
2025-04-17,mobile,returning,none,email,6924,0,0
2025-04-17,mobile,returning,none,organic,8651,0,0
