day,device,channel,visitors,signups,retained_1_week,retained_1_month,retained_2_months
2024-12-28,mobile,organic,96,38,14.0,12.0,11.0
2024-12-28,desktop,organic,48,24,14.0,12.0,10.0
2024-12-28,tablet,organic,16,5,3.0,3.0,3.0
2024-12-28,mobile,paid,49,18,1.0,0.0,0.0
2024-12-28,desktop,paid,24,11,1.0,1.0,1.0
2024-12-28,tablet,paid,8,0,0.0,0.0,0.0
2024-12-28,mobile,referral,63,28,17.0,13.0,10.0
2024-12-28,desktop,referral,31,16,10.0,8.0,5.0
2024-12-28,tablet,referral,10,5,4.0,3.0,3.0
2024-12-28,mobile,social,21,9,2.0,2.0,1.0
2024-12-28,desktop,social,10,5,1.0,1.0,1.0
2024-12-28,tablet,social,3,1,0.0,0.0,0.0
2024-12-29,mobile,organic,81,34,16.0,13.0,12.0
2024-12-29,desktop,organic,40,24,9.0,7.0,6.0
2024-12-29,tablet,organic,13,7,2.0,2.0,1.0
2024-12-29,mobile,paid,43,22,5.0,1.0,1.0
2024-12-29,desktop,paid,21,7,1.0,1.0,0.0
2024-12-29,tablet,paid,7,3,0.0,0.0,0.0
2024-12-29,mobile,referral,64,29,17.0,15.0,14.0
2024-12-29,desktop,referral,32,11,7.0,6.0,3.0
2024-12-29,tablet,referral,10,3,2.0,1.0,1.0
2024-12-29,mobile,social,18,4,1.0,1.0,1.0
2024-12-29,desktop,social,9,6,1.0,1.0,1.0
2024-12-29,tablet,social,3,1,0.0,0.0,0.0
2024-12-30,mobile,organic,91,36,17.0,16.0,11.0
2024-12-30,desktop,organic,45,15,6.0,5.0,4.0
2024-12-30,tablet,organic,15,8,4.0,1.0,1.0
2024-12-30,mobile,paid,43,15,2.0,1.0,1.0
2024-12-30,desktop,paid,21,8,3.0,1.0,1.0
2024-12-30,tablet,paid,7,4,0.0,0.0,0.0
2024-12-30,mobile,referral,91,33,16.0,11.0,8.0
2024-12-30,desktop,referral,45,28,15.0,13.0,9.0
2024-12-30,tablet,referral,15,4,3.0,3.0,2.0
2024-12-30,mobile,social,21,6,1.0,1.0,1.0
2024-12-30,desktop,social,10,4,2.0,2.0,2.0
2024-12-30,tablet,social,3,2,1.0,1.0,1.0
2024-12-31,mobile,organic,112,49,27.0,22.0,18.0
2024-12-31,desktop,organic,56,28,18.0,12.0,11.0
2024-12-31,tablet,organic,18,5,2.0,2.0,2.0
2024-12-31,mobile,paid,49,20,2.0,0.0,0.0
2024-12-31,desktop,paid,24,7,0.0,0.0,0.0
2024-12-31,tablet,paid,8,4,1.0,0.0,0.0
2024-12-31,mobile,referral,78,23,13.0,11.0,9.0
2024-12-31,desktop,referral,39,19,7.0,6.0,5.0
2024-12-31,tablet,referral,13,5,2.0,1.0,1.0
2024-12-31,mobile,social,22,8,4.0,4.0,3.0
2024-12-31,desktop,social,11,4,2.0,1.0,1.0
