day,device,browser,channel,location,visitors,signups
2025-05-13,mobile,chrome,organic,northern,867,43
2025-05-13,mobile,chrome,organic,southern,446,19
2025-05-13,mobile,chrome,organic,eastern,215,5
2025-05-13,mobile,chrome,organic,western,430,25
2025-05-13,mobile,chrome,organic,central,201,5
2025-05-13,mobile,chrome,paid,northern,420,35
2025-05-13,mobile,chrome,paid,southern,210,14
2025-05-13,mobile,chrome,paid,eastern,83,5
2025-05-13,mobile,chrome,paid,western,227,12
2025-05-13,mobile,chrome,paid,central,102,4
2025-05-13,mobile,firefox,organic,northern,553,26
2025-05-13,mobile,firefox,organic,southern,249,8
2025-05-13,mobile,firefox,organic,eastern,115,4
2025-05-13,mobile,firefox,organic,western,265,8
2025-05-13,mobile,firefox,organic,central,129,0
2025-05-13,mobile,firefox,paid,northern,263,18
2025-05-13,mobile,firefox,paid,southern,140,5
2025-05-13,mobile,firefox,paid,eastern,73,5
2025-05-13,mobile,firefox,paid,western,123,10
2025-05-13,mobile,firefox,paid,central,56,4
2025-05-13,mobile,safari,organic,northern,344,18
2025-05-13,mobile,safari,organic,southern,174,4
2025-05-13,mobile,safari,organic,eastern,83,5
2025-05-13,mobile,safari,organic,western,158,6
2025-05-13,mobile,safari,organic,central,68,5
2025-05-13,mobile,safari,paid,northern,155,18
2025-05-13,mobile,safari,paid,southern,63,7
2025-05-13,mobile,safari,paid,eastern,45,1
2025-05-13,mobile,safari,paid,western,88,4
2025-05-13,mobile,safari,paid,central,44,3
2025-05-13,desktop,chrome,organic,northern,437,25
2025-05-13,desktop,chrome,organic,southern,232,10
2025-05-13,desktop,chrome,organic,eastern,98,4
2025-05-13,desktop,chrome,organic,western,232,16
2025-05-13,desktop,chrome,organic,central,103,4
2025-05-13,desktop,chrome,paid,northern,182,16
2025-05-13,desktop,chrome,paid,southern,98,4
2025-05-13,desktop,chrome,paid,eastern,67,4
2025-05-13,desktop,chrome,paid,western,101,12
2025-05-13,desktop,chrome,paid,central,53,1
2025-05-13,desktop,firefox,organic,northern,279,16
2025-05-13,desktop,firefox,organic,southern,110,9
2025-05-13,desktop,firefox,organic,eastern,77,3
2025-05-13,desktop,firefox,organic,western,158,8
2025-05-13,desktop,firefox,organic,central,72,3
2025-05-13,desktop,firefox,paid,northern,122,8
2025-05-13,desktop,firefox,paid,southern,54,3
2025-05-13,desktop,firefox,paid,eastern,26,2
2025-05-13,desktop,firefox,paid,western,62,5
2025-05-13,desktop,firefox,paid,central,28,2
2025-05-13,desktop,safari,organic,northern,181,17
2025-05-13,desktop,safari,organic,southern,75,5
2025-05-13,desktop,safari,organic,eastern,41,1
2025-05-13,desktop,safari,organic,western,85,6
2025-05-13,desktop,safari,organic,central,41,2
2025-05-13,desktop,safari,paid,northern,80,9
2025-05-13,desktop,safari,paid,southern,33,4
2025-05-13,desktop,safari,paid,eastern,18,2
2025-05-13,desktop,safari,paid,western,45,2
2025-05-13,desktop,safari,paid,central,20,0
2025-05-13,tablet,chrome,organic,northern,131,3
2025-05-13,tablet,chrome,organic,southern,58,2
2025-05-13,tablet,chrome,organic,eastern,38,0
2025-05-13,tablet,chrome,organic,western,98,3
2025-05-13,tablet,chrome,organic,central,41,1
2025-05-13,tablet,chrome,paid,northern,76,3
2025-05-13,tablet,chrome,paid,southern,30,2
2025-05-13,tablet,chrome,paid,eastern,19,0
2025-05-13,tablet,chrome,paid,western,36,0
2025-05-13,tablet,chrome,paid,central,20,1
2025-05-13,tablet,firefox,organic,northern,66,2
2025-05-13,tablet,firefox,organic,southern,46,0
2025-05-13,tablet,firefox,organic,eastern,24,0
2025-05-13,tablet,firefox,organic,western,51,2
2025-05-13,tablet,firefox,organic,central,15,0
2025-05-13,tablet,firefox,paid,northern,35,2
2025-05-13,tablet,firefox,paid,southern,21,0
2025-05-13,tablet,firefox,paid,eastern,4,0
2025-05-13,tablet,firefox,paid,western,16,0
2025-05-13,tablet,firefox,paid,central,11,0
2025-05-13,tablet,safari,organic,northern,56,3
2025-05-13,tablet,safari,organic,southern,29,2
2025-05-13,tablet,safari,organic,eastern,16,2
2025-05-13,tablet,safari,organic,western,31,1
2025-05-13,tablet,safari,organic,central,11,0
2025-05-13,tablet,safari,paid,northern,29,3
2025-05-13,tablet,safari,paid,southern,11,0
2025-05-13,tablet,safari,paid,eastern,6,0
2025-05-13,tablet,safari,paid,western,13,0
2025-05-13,tablet,safari,paid,central,9,0
2025-05-14,mobile,chrome,organic,northern,735,51
2025-05-14,mobile,chrome,organic,southern,367,16
2025-05-14,mobile,chrome,organic,eastern,209,6
2025-05-14,mobile,chrome,organic,western,357,11
2025-05-14,mobile,chrome,organic,central,189,9
2025-05-14,mobile,chrome,paid,northern,419,31
2025-05-14,mobile,chrome,paid,southern,241,18
2025-05-14,mobile,chrome,paid,eastern,127,6
2025-05-14,mobile,chrome,paid,western,236,11
2025-05-14,mobile,chrome,paid,central,112,2
2025-05-14,mobile,firefox,organic,northern,440,24
2025-05-14,mobile,firefox,organic,southern,235,11
2025-05-14,mobile,firefox,organic,eastern,121,5
2025-05-14,mobile,firefox,organic,western,195,7
2025-05-14,mobile,firefox,organic,central,99,4
2025-05-14,mobile,firefox,paid,northern,265,18
2025-05-14,mobile,firefox,paid,southern,129,8
2025-05-14,mobile,firefox,paid,eastern,67,4
2025-05-14,mobile,firefox,paid,western,100,4
2025-05-14,mobile,firefox,paid,central,69,1
2025-05-14,mobile,safari,organic,northern,300,11
2025-05-14,mobile,safari,organic,southern,146,10
2025-05-14,mobile,safari,organic,eastern,80,3
2025-05-14,mobile,safari,organic,western,142,8
2025-05-14,mobile,safari,organic,central,90,1
2025-05-14,mobile,safari,paid,northern,184,11
2025-05-14,mobile,safari,paid,southern,85,2
2025-05-14,mobile,safari,paid,eastern,55,2
2025-05-14,mobile,safari,paid,western,99,6
2025-05-14,mobile,safari,paid,central,59,2
2025-05-14,desktop,chrome,organic,northern,354,23
2025-05-14,desktop,chrome,organic,southern,184,16
2025-05-14,desktop,chrome,organic,eastern,79,2
2025-05-14,desktop,chrome,organic,western,198,10
2025-05-14,desktop,chrome,organic,central,76,4
2025-05-14,desktop,chrome,paid,northern,188,15
2025-05-14,desktop,chrome,paid,southern,108,9
2025-05-14,desktop,chrome,paid,eastern,72,6
2025-05-14,desktop,chrome,paid,western,95,10
2025-05-14,desktop,chrome,paid,central,66,1
2025-05-14,desktop,firefox,organic,northern,206,18
2025-05-14,desktop,firefox,organic,southern,116,6
2025-05-14,desktop,firefox,organic,eastern,47,1
2025-05-14,desktop,firefox,organic,western,121,5
2025-05-14,desktop,firefox,organic,central,58,5
2025-05-14,desktop,firefox,paid,northern,125,10
2025-05-14,desktop,firefox,paid,southern,66,4
2025-05-14,desktop,firefox,paid,eastern,24,1
2025-05-14,desktop,firefox,paid,western,65,2
2025-05-14,desktop,firefox,paid,central,34,0
2025-05-14,desktop,safari,organic,northern,135,7
2025-05-14,desktop,safari,organic,southern,67,2
2025-05-14,desktop,safari,organic,eastern,62,1
2025-05-14,desktop,safari,organic,western,92,3
2025-05-14,desktop,safari,organic,central,33,1
2025-05-14,desktop,safari,paid,northern,89,6
2025-05-14,desktop,safari,paid,southern,51,4
2025-05-14,desktop,safari,paid,eastern,30,3
2025-05-14,desktop,safari,paid,western,40,3
2025-05-14,desktop,safari,paid,central,14,1
2025-05-14,tablet,chrome,organic,northern,147,4
2025-05-14,tablet,chrome,organic,southern,60,1
2025-05-14,tablet,chrome,organic,eastern,47,0
2025-05-14,tablet,chrome,organic,western,63,1
2025-05-14,tablet,chrome,organic,central,34,0
2025-05-14,tablet,chrome,paid,northern,75,2
2025-05-14,tablet,chrome,paid,southern,31,0
2025-05-14,tablet,chrome,paid,eastern,31,0
2025-05-14,tablet,chrome,paid,western,42,2
2025-05-14,tablet,chrome,paid,central,18,0
2025-05-14,tablet,firefox,organic,northern,63,2
2025-05-14,tablet,firefox,organic,southern,29,1
2025-05-14,tablet,firefox,organic,eastern,23,1
2025-05-14,tablet,firefox,organic,western,48,0
2025-05-14,tablet,firefox,organic,central,13,1
2025-05-14,tablet,firefox,paid,northern,40,2
2025-05-14,tablet,firefox,paid,southern,27,0
2025-05-14,tablet,firefox,paid,eastern,20,1
2025-05-14,tablet,firefox,paid,western,17,2
2025-05-14,tablet,firefox,paid,central,12,0
2025-05-14,tablet,safari,organic,northern,50,1
2025-05-14,tablet,safari,organic,southern,32,2
2025-05-14,tablet,safari,organic,eastern,18,1
2025-05-14,tablet,safari,organic,western,25,0
2025-05-14,tablet,safari,organic,central,13,0
2025-05-14,tablet,safari,paid,northern,26,1
2025-05-14,tablet,safari,paid,southern,11,0
2025-05-14,tablet,safari,paid,eastern,13,1
2025-05-14,tablet,safari,paid,western,14,0
2025-05-14,tablet,safari,paid,central,11,0
2025-05-15,mobile,chrome,organic,northern,972,46
2025-05-15,mobile,chrome,organic,southern,478,25
2025-05-15,mobile,chrome,organic,eastern,251,5
2025-05-15,mobile,chrome,organic,western,484,24
2025-05-15,mobile,chrome,organic,central,233,4
2025-05-15,mobile,chrome,paid,northern,361,19
2025-05-15,mobile,chrome,paid,southern,172,5
2025-05-15,mobile,chrome,paid,eastern,76,3
2025-05-15,mobile,chrome,paid,western,211,11
2025-05-15,mobile,chrome,paid,central,99,1
2025-05-15,mobile,firefox,organic,northern,562,29
2025-05-15,mobile,firefox,organic,southern,271,11
2025-05-15,mobile,firefox,organic,eastern,144,4
2025-05-15,mobile,firefox,organic,western,307,10
2025-05-15,mobile,firefox,organic,central,153,3
2025-05-15,mobile,firefox,paid,northern,206,12
2025-05-15,mobile,firefox,paid,southern,108,3
2025-05-15,mobile,firefox,paid,eastern,50,0
2025-05-15,mobile,firefox,paid,western,108,7
2025-05-15,mobile,firefox,paid,central,60,4
2025-05-15,mobile,safari,organic,northern,396,20
2025-05-15,mobile,safari,organic,southern,201,8
2025-05-15,mobile,safari,organic,eastern,82,3
2025-05-15,mobile,safari,organic,western,200,7
2025-05-15,mobile,safari,organic,central,95,0
2025-05-15,mobile,safari,paid,northern,151,8
2025-05-15,mobile,safari,paid,southern,81,7
2025-05-15,mobile,safari,paid,eastern,29,1
2025-05-15,mobile,safari,paid,western,90,1
2025-05-15,mobile,safari,paid,central,40,0
2025-05-15,desktop,chrome,organic,northern,487,25
2025-05-15,desktop,chrome,organic,southern,231,14
2025-05-15,desktop,chrome,organic,eastern,119,1
2025-05-15,desktop,chrome,organic,western,253,7
2025-05-15,desktop,chrome,organic,central,139,6
2025-05-15,desktop,chrome,paid,northern,190,11
2025-05-15,desktop,chrome,paid,southern,90,7
2025-05-15,desktop,chrome,paid,eastern,44,1
2025-05-15,desktop,chrome,paid,western,103,3
2025-05-15,desktop,chrome,paid,central,59,1
2025-05-15,desktop,firefox,organic,northern,290,18
2025-05-15,desktop,firefox,organic,southern,138,10
2025-05-15,desktop,firefox,organic,eastern,75,4
2025-05-15,desktop,firefox,organic,western,145,5
2025-05-15,desktop,firefox,organic,central,75,2
2025-05-15,desktop,firefox,paid,northern,121,6
2025-05-15,desktop,firefox,paid,southern,60,3
2025-05-15,desktop,firefox,paid,eastern,31,3
2025-05-15,desktop,firefox,paid,western,51,0
2025-05-15,desktop,firefox,paid,central,31,0
2025-05-15,desktop,safari,organic,northern,186,9
2025-05-15,desktop,safari,organic,southern,84,1
2025-05-15,desktop,safari,organic,eastern,40,0
2025-05-15,desktop,safari,organic,western,102,5
2025-05-15,desktop,safari,organic,central,60,2
2025-05-15,desktop,safari,paid,northern,76,10
2025-05-15,desktop,safari,paid,southern,34,4
2025-05-15,desktop,safari,paid,eastern,22,1
2025-05-15,desktop,safari,paid,western,46,2
2025-05-15,desktop,safari,paid,central,20,0
2025-05-15,tablet,chrome,organic,northern,113,5
2025-05-15,tablet,chrome,organic,southern,62,1
2025-05-15,tablet,chrome,organic,eastern,46,1
2025-05-15,tablet,chrome,organic,western,58,1
2025-05-15,tablet,chrome,organic,central,44,1
2025-05-15,tablet,chrome,paid,northern,61,3
2025-05-15,tablet,chrome,paid,southern,23,0
2025-05-15,tablet,chrome,paid,eastern,16,2
2025-05-15,tablet,chrome,paid,western,14,1
2025-05-15,tablet,chrome,paid,central,12,0
2025-05-15,tablet,firefox,organic,northern,85,5
2025-05-15,tablet,firefox,organic,southern,52,2
2025-05-15,tablet,firefox,organic,eastern,18,1
2025-05-15,tablet,firefox,organic,western,46,2
2025-05-15,tablet,firefox,organic,central,17,0
2025-05-15,tablet,firefox,paid,northern,26,0
2025-05-15,tablet,firefox,paid,southern,11,0
2025-05-15,tablet,firefox,paid,eastern,7,0
2025-05-15,tablet,firefox,paid,western,15,1
2025-05-15,tablet,firefox,paid,central,12,0
