day,location,browser,device,channel,returning_user,visitors,sales,spend
2025-05-13,northern,chrome,mobile,organic,new,94,4,0
2025-05-13,northern,chrome,mobile,organic,returning,103,13,0
2025-05-13,northern,chrome,mobile,paid_search,new,58,1,251
2025-05-13,northern,chrome,mobile,paid_search,returning,49,2,237
2025-05-13,northern,chrome,mobile,paid_social,new,65,1,106
2025-05-13,northern,chrome,mobile,paid_social,returning,63,4,101
2025-05-13,northern,chrome,mobile,direct,new,52,2,0
2025-05-13,northern,chrome,mobile,direct,returning,48,5,0
2025-05-13,northern,chrome,desktop,organic,new,120,5,0
2025-05-13,northern,chrome,desktop,organic,returning,120,24,0
2025-05-13,northern,chrome,desktop,paid_search,new,58,2,244
2025-05-13,northern,chrome,desktop,paid_search,returning,49,3,231
2025-05-13,northern,chrome,desktop,paid_social,new,44,0,104
2025-05-13,northern,chrome,desktop,paid_social,returning,59,3,98
2025-05-13,northern,chrome,desktop,direct,new,44,1,0
2025-05-13,northern,chrome,desktop,direct,returning,59,4,0
2025-05-13,northern,chrome,tablet,organic,new,63,1,0
2025-05-13,northern,chrome,tablet,organic,returning,40,2,0
2025-05-13,northern,chrome,tablet,paid_search,new,26,0,126
2025-05-13,northern,chrome,tablet,paid_search,returning,20,3,119
2025-05-13,northern,chrome,tablet,paid_social,new,24,0,53
2025-05-13,northern,chrome,tablet,paid_social,returning,23,1,51
2025-05-13,northern,chrome,tablet,direct,new,30,1,0
2025-05-13,northern,chrome,tablet,direct,returning,28,5,0
2025-05-13,northern,firefox,mobile,organic,new,54,1,0
2025-05-13,northern,firefox,mobile,organic,returning,64,5,0
2025-05-13,northern,firefox,mobile,paid_search,new,43,3,139
2025-05-13,northern,firefox,mobile,paid_search,returning,44,5,132
2025-05-13,northern,firefox,mobile,paid_social,new,34,2,59
2025-05-13,northern,firefox,mobile,paid_social,returning,28,1,56
2025-05-13,northern,firefox,mobile,direct,new,37,0,0
2025-05-13,northern,firefox,mobile,direct,returning,48,5,0
2025-05-13,northern,firefox,desktop,organic,new,74,6,0
2025-05-13,northern,firefox,desktop,organic,returning,76,9,0
2025-05-13,northern,firefox,desktop,paid_search,new,42,1,136
2025-05-13,northern,firefox,desktop,paid_search,returning,46,2,129
2025-05-13,northern,firefox,desktop,paid_social,new,20,1,58
2025-05-13,northern,firefox,desktop,paid_social,returning,45,2,55
2025-05-13,northern,firefox,desktop,direct,new,26,0,0
2025-05-13,northern,firefox,desktop,direct,returning,40,3,0
2025-05-13,northern,firefox,tablet,organic,new,37,1,0
2025-05-13,northern,firefox,tablet,organic,returning,26,1,0
2025-05-13,northern,firefox,tablet,paid_search,new,9,0,70
2025-05-13,northern,firefox,tablet,paid_search,returning,18,1,66
2025-05-13,northern,firefox,tablet,paid_social,new,16,0,30
2025-05-13,northern,firefox,tablet,paid_social,returning,14,1,28
2025-05-13,northern,firefox,tablet,direct,new,13,0,0
